GAME_ID,GAME_ID_AWAY_TEAM_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_FL,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID
ARI201807020,ARI201807020SLN,SLN,1,1,0,3,2,BB.BCSX,4,0,goldp001,R,goldp001,R,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,,jay-j001,,S9/G.2-3,F,F,3,2,20,T,T,1,F,F,0,F,F,0,F,F,9,G,F,F,,0,0,N,0,N,0,N,1,0,3,0,,,,,F,F,F,F,F,F,F,F,F,,martc006,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,11
ARI201807020,ARI201807020SLN,SLN,1,1,0,3,2,BSCFF*B*BX,4,0,lambj001,L,lambj001,L,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,goldp001,,jay-j001,S9/G+.3-H(UR);1-2,F,F,5,3,20,T,T,1,F,F,0,F,F,1,F,F,9,G,F,F,,0,0,N,0,N,0,N,1,2,0,5,,,,,F,F,F,F,F,F,F,F,F,martc006,,martc006,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,12
ARI201807020,ARI201807020SLN,SLN,1,1,0,0,1,CX,4,1,polla001,R,polla001,R,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,lambj001,goldp001,,8/F,F,F,8,4,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,1,2,0,8,,,,F,F,F,F,F,F,F,F,F,martc006,martc006,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,13
ARI201807020,ARI201807020SLN,SLN,1,1,1,1,2,BSFS,4,1,perad001,L,perad001,L,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,lambj001,goldp001,,K,F,F,7,5,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,0,2,,,,F,F,F,F,F,F,F,F,F,martc006,martc006,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,14
ARI201807020,ARI201807020SLN,SLN,1,1,2,3,1,BBCBX,4,1,descd001,L,descd001,L,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,lambj001,goldp001,,4/P,F,F,4,6,2,T,T,0,F,F,1,F,F,0,F,F,4,P,F,F,,0,0,N,0,N,0,N,0,1,2,0,4,,,,F,F,F,F,F,F,F,F,F,martc006,martc006,,F,F,F,F,F,,,,,0,4,0,0,0,0,0,0,0,15
ARI201807020,ARI201807020SLN,SLN,2,0,0,1,1,CBX,4,1,martc006,R,martc006,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,,,DGR/89/F+,T,F,1,9,21,T,T,2,F,F,0,F,F,0,F,F,0,F,F,F,89,0,0,N,0,N,0,N,2,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,16
ARI201807020,ARI201807020SLN,SLN,2,0,0,1,2,BSSS,4,1,carpm002,L,carpm002,L,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,martc006,,K,F,F,3,1,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,2,0,2,,,,F,F,F,F,F,F,F,F,F,,ray-r002,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,17
ARI201807020,ARI201807020SLN,SLN,2,0,1,1,2,FCFFBFC,4,1,phamt001,R,phamt001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,martc006,,K,F,F,8,2,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,2,0,2,,,,F,F,F,F,F,F,F,F,F,,ray-r002,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,18
ARI201807020,ARI201807020SLN,SLN,2,0,2,1,1,C*BX,4,1,oneit001,R,oneit001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,martc006,,8/F+,F,F,9,3,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,0,2,0,8,,,,F,F,F,F,F,F,F,F,F,,ray-r002,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,19
ARI201807020,ARI201807020SLN,SLN,2,1,0,0,1,CX,4,1,murpj001,R,murpj001,R,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,,,,63/G,T,F,2,7,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,63,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,20
